"","us-bibliographic-data-grant.publication-reference1","us-bibliographic-data-grant.publication-reference2","us-bibliographic-data-grant.publication-reference3","us-bibliographic-data-grant.publication-reference4","us-bibliographic-data-grant.application-reference1","us-bibliographic-data-grant.application-reference2","us-bibliographic-data-grant.application-reference3","us-bibliographic-data-grant.application-reference..attrs.appl-type","us-bibliographic-data-grant.us-application-series-code","us-bibliographic-data-grant.us-term-of-grant.length-of-grant","us-bibliographic-data-grant.classification-locarno.edition","us-bibliographic-data-grant.classification-locarno.main-classification","us-bibliographic-data-grant.classification-national.country","us-bibliographic-data-grant.classification-national.main-classification","us-bibliographic-data-grant.invention-title.text","us-bibliographic-data-grant.invention-title..attrs.id","us-bibliographic-data-grant.number-of-claims","us-bibliographic-data-grant.us-exemplary-claim","us-bibliographic-data-grant.figures.number-of-drawing-sheets","us-bibliographic-data-grant.figures.number-of-figures","us-bibliographic-data-grant.us-parties.us-applicants.address.city","us-bibliographic-data-grant.us-parties.us-applicants.address.country","us-bibliographic-data-grant.us-parties.us-applicants.country","us-bibliographic-data-grant.us-parties.us-applicants.sequence","us-bibliographic-data-grant.us-parties.us-applicants.app-type","us-bibliographic-data-grant.us-parties.us-applicants.designation","us-bibliographic-data-grant.us-parties.inventors1","us-bibliographic-data-grant.us-parties.inventors2","us-bibliographic-data-grant.us-parties.inventors.city","us-bibliographic-data-grant.us-parties.inventors.country","us-bibliographic-data-grant.us-parties.inventors.sequence","us-bibliographic-data-grant.us-parties.inventors.designation","drawings..attrs.id","description..attrs.id","us-claim-statement","claims1","claims.id","claims.num","claims..attrs.id",".attrs.lang",".attrs.dtd-version",".attrs.file",".attrs.status",".attrs.id",".attrs.country",".attrs.date-produced",".attrs.date-publ"
"xml","US","D0786535","S1","20170516","US","29509318","20141117","design","29","14","10","0202","US","D 2738","Sports garment","d2e53","1","1","5","5","London","GB","GB","001","applicant","us-only","Grosse","Stefanï{umlaut over ( )}","London","GB","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for sports garment, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786535-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786536","S1","20170516","US","29545766","20151116","design","29","15","10","0202","US","D 2738","Shorts","d2e53","1","1","8","10","Beaverton","US","US","001","applicant","us-only","Ingram","Jeff","Portland","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for shorts, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786536-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786537","S1","20170516","US","29545771","20151116","design","29","15","10","0202","US","D 2836","Jacket","d2e53","1","1","6","6","Beaverton","US","US","001","applicant","us-only","Ingram","Jeff","Portland","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a jacket, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786537-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786538","S1","20170516","US","29568784","20160621","design","29","15","10","0202","US","D 2857","Garment pocket","d2e53","1","1","5","11","Redwood City","US","US","001","applicant","us-only","Morenstein","Josh","Redwood City","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a garment pocket, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786538-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786539","S1","20170516","US","29572256","20160726","design","29","15","10","0204","US","D 2916","Sandal","d2e53","1","1","4","8","San Bruno","US","US","001","applicant","us-only","Vixama","Gregory Seth","San Bruno","US","001","us-only","DRAWINGS","description","CLAIM","I claim the ornamental design for a sandal, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786539-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786540","S1","20170516","US","29534416","20150728","design","29","15","10","0204","US","D 2917","Sandal or similar article","d2e53","1","1","2","4","Allentown","US","US","001","applicant","us-only","Mansour","Mansour G.","Allentown","US","001","us-only","DRAWINGS","description","CLAIM","I claim the ornamental design for a sandal or similar article, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786540-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786541","S1","20170516","US","29569367","20160627","design","29","15","10","0204","US","D 2917","Sandal","d2e53","1","1","6","8","South Ozone Park","US","US","001","applicant","us-only","Ethridge","Desaree C.","South Ozone Park","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a sandal, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786541-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786542","S1","20170516","US","29517317","20150211","design","29","14","10","0204","US","D 2923","Footwear","d2e71","1","1","4","6","Hong Kong","HK","HK","001","applicant","us-only","Fu","David","Hong Kong","HK","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for footwear, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786542-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786543","S1","20170516","US","29540258","20150922","design","29","15","10","0204","US","D 2939","Shoe","d2e53","1","1","8","8","New York","US","US","001","applicant","us-only","Ursomarzo","Tania","New York","US","001","us-only","DRAWINGS","description","CLAIM","I claim the ornamental design for a shoe, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786543-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786544","S1","20170516","US","29549289","20151221","design","29","15","10","0204","US","D 2947","Shoe midsole","d2e53","1","1","2","2","London","GB","GB","001","applicant","us-only","Marvin","William","Canton","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a midsole, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786544-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786545","S1","20170516","US","29562978","20160429","design","29","15","10","0204","US","D 2947","Shoe midsole","d2e53","1","1","2","2","Beaverton","US","US","001","applicant","us-only","Link","Kenneth","Portland","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a shoe midsole, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786545-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786546","S1","20170516","US","29547135","20151201","design","29","15","10","0299","US","D 2972","Shoe upper","d2e53","1","1","3","3","Beaverton","US","US","001","applicant","us-only","Rasmussen","Jeff","Portland","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a shoe upper, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786546-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786547","S1","20170516","US","29552757","20160126","design","29","15","10","0204","US","D 2972","Shoe upper","d2e53","1","1","4","4","Beaverton","US","US","001","applicant","us-only","Chang","Leo S.","Portland","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a shoe upper, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786547-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786548","S1","20170516","US","29542574","20151015","design","29","15","10","0204","US","D 2980","Sock","d2e53","1","1","3","7","Vista","US","US","001","applicant","us-only","Patterson","Joe","Vista","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a sock, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786548-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786549","S1","20170516","US","29572325","20160727","design","29","15","10","0301","US","D 3211","Keychain device","d2e53","1","1","8","8","Austin","US","US","001","applicant","us-only","Dandachli","Youssef","Austin","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a keychain device, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786549-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786550","S1","20170516","US","29553330","20160131","design","29","15","10","0301","US","D 3215","Electronic device case","d2e53","1","1","2","8","Irvine","US","US","001","applicant","us-only","Grote","Paul S.","Old Hickory","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for an electronic device case, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786550-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786551","S1","20170516","US","29532446","20150707","design","29","15","10","0301","US","D 3232","Handbag","d2e71","1","1","6","6","Athens","GR","GR","001","applicant","us-only","Koutsolioutsos","Dimitrios","Attica","GR","001","us-only","DRAWINGS","description","CLAIM","I claim the ornamental design for a handbag, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786551-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786552","S1","20170516","US","29581888","20161024","design","29","15","10","0301","US","D 3243","Handbag","d2e53","1","1","7","7","Cadempino","CH","CH","001","applicant","us-only","Maier","Thomas Rudolf","Palm Beach","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a handbag, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786552-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786553","S1","20170516","US","29514804","20150116","design","29","14","10","0301","US","D 3266","Eyewear holder","d2e53","1","1","5","5","New York","US","US","001","applicant","us-only","Kriss","Michael","New York","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for an eyewear holder, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786553-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786554","S1","20170516","US","29526114","20150506","design","29","14","10","0301","US","D 3283","Storage box with partitions","d2e53","1","1","7","7","North Bergen","US","US","001","applicant","us-only","Reyes","Leonardo","North Bergen","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a storage box with partitions, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786554-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786555","S1","20170516","US","29527571","20150520","design","29","15","10","0301","US","D 3284","Combined stuff sack and pouch","d2e53","1","1","9","9","Bend","US","US","001","applicant","us-only","Brungraber","Caesara","Bend","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a combined stuff sack and pouch, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786555-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786556","S1","20170516","US","29505956","20160428","design","29","15","10","0301","US","D 3304","Soda can bin","d2e53","1","1","4","7","Carrollton","US","US","001","applicant","us-only","Jones","Autumn Alexis","Dallas","US","001","us-only","DRAWINGS","description","CLAIM","I claim the ornamental design for a soda can bin, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786556-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786557","S1","20170516","US","29554825","20160216","design","29","15","10","0301","US","D 3306","Basket","d2e53","1","1","8","12","Streetsboro","US","US","001","applicant","us-only","Goodman","Aaron D.","Beachwood","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a basket, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786557-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786558","S1","20170516","US","29533026","20150713","design","29","15","10","0301","US","D 3318","Lid for containers","d2e71","1","1","6","6","Niederkorn","LU","LU","001","applicant","us-only","Duvigneau","Nikolai","Zichron Yaacov","IL","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a lid for containers, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786558-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786559","S1","20170516","US","29544615","20151104","design","29","15","10","0301","US","D 3318","Insulating device","d2e53","1","1","4","4","Austin","US","US","001","applicant","us-only","Seiders","Roy Joseph","Austin","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for an insulating device, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786559-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786560","S1","20170516","US","29544621","20151104","design","29","15","10","0301","US","D 3318","Insulating device","d2e53","1","1","5","5","Austin","US","US","001","applicant","us-only","Seiders","Roy Joseph","Austin","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for an insulating device, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786560-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786561","S1","20170516","US","29544622","20151104","design","29","15","10","0301","US","D 3318","Insulating device","d2e53","1","1","6","6","Austin","US","US","001","applicant","us-only","Seiders","Roy Joseph","Austin","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for an insulating device, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786561-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786562","S1","20170516","US","29544624","20151104","design","29","15","10","0301","US","D 3318","Insulating device","d2e53","1","1","4","4","Austin","US","US","001","applicant","us-only","Seiders","Roy Joseph","Austin","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for an insulating device, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786562-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786563","S1","20170516","US","29534406","20150728","design","29","15","10","0402","US","D 4104","Multi-function oral care kit","d2e53","1","1","6","25","Portland","US","US","001","applicant","us-only","Triato","Patrick R.","Portland","US","001","us-only","DRAWINGS","description","CLAIM","I claim the ornamental design for a multi-function oral care kit, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786563-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786564","S1","20170516","US","29543823","20151028","design","29","15","10","0402","US","D 4110","Toothbrush","d2e53","1","1","4","8","Atlanta","US","US","001","applicant","us-only","Borstel","Sabine","Atlanta","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a toothbrush, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786564-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786565","S1","20170516","US","29567454","20160609","design","29","15","10","0402","US","D 4135","Brush","d2e53","1","1","5","5","Skive","DK","DK","001","applicant","us-only","Lauridsen","Jorgen Thordahl","Skive","DK","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a brush, as shown.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786565-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786566","S1","20170516","US","29535762","20150810","design","29","15","10","0402","US","D 4138","Handle for a cleaning tool","d2e53","1","1","6","12","St. Paul","US","US","001","applicant","us-only","Chaffee","Matthew D.","Minneapolis","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a handle for a cleaning tool, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786566-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786567","S1","20170516","US","29489473","20140430","design","29","14","10","0506","US","D 5  1","Sheet material with hexagonal perforations","d2e53","1","1","3","4","Hampden","US","US","001","applicant","us-only","Lacey","Sam","Hampden","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a sheet material with hexagonal perforations, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786567-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786568","S1","20170516","US","29534015","20150724","design","29","15","10","0608","US","D 6319","Interlocking hanger","d2e53","1","1","5","10","Mountain View","US","US","001","applicant-inventor","us-only","Rakhamimov","Murad","Mountain View","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for an interlocking hanger, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786568-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786569","S1","20170516","US","29553552","20160202","design","29","15","10","0601","US","D 6333","Stool","d2e71","1","1","7","7","Grandate (CO)","IT","IT","001","applicant","us-only","Festa","Antonella","Como","IT","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a stool, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786569-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786570","S1","20170516","US","29560762","20160410","design","29","15","10","0601","US","D 6333","Infant bath tub","d2e53","1","1","11","13","Salt Lake City","US","US","001","applicant","us-only","Denton","Dana L","Salt Lake City","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for an infant bath tub, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786570-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786571","S1","20170516","US","29511602","20141211","design","29","14","10","0601","US","D 6337","Office furniture","d2e398","1","1","15","21","London","GB","GB","001","applicant","us-only","Webb","Roger","London","GB","001","us-only","DRAWINGS","description","CLAIM","What is claimed the ornamental design for office furniture, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786571-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786572","S1","20170516","US","29537722","20150828","design","29","15","10","0601","US","D 6347","Rocking bed","d2e71","1","1","4","7","Ningbo","CN","CN","001","applicant","us-only","Shen","Jiahuan","Ningbo","CN","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a rocking bed, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786572-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786573","S1","20170516","US","29520419","20150313","design","29","14","10","0601","US","D 6354","Bicycle seat","d2e53","1","1","25","35","Lutz","US","US","001","applicant","us-only","Toll","Steven G.","Tampa","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a bicycle seat, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786573-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786574","S1","20170516","US","35500332","20151120","design","35","15","10","0601","US","D 6360","Stool","d2e71","1","1","5","5","Chiampo","IT","IT","001","applicant","us-only","Galiotto","Raffaello","Chiampo","IT","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a stool, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786574-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786575","S1","20170516","US","29526865","20150513","design","29","15","10","0601","US","D 6368","Stackable chair","d2e53","1","1","11","11","Aventura","US","US","001","applicant","us-only","Olarte","Alvaro Mauricio","Aventura","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a stackable chair, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786575-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786576","S1","20170516","US","29559682","20160330","design","29","15","10","0601","US","D 6381","Seat","d2e53","1","1","15","15","Pontotoc","US","US","001","applicant","us-only","Dix","George K","Pontotoc","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a seat, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786576-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786577","S1","20170516","US","29516083","20150129","design","29","14","10","0601","US","D 6390","Hospital bassinet","d2e53","1","1","3","3","Kalamazoo","US","US","001","applicant","us-only","Czach","Matthew Gregory","Kalamazoo","US","001","us-only","DRAWINGS","description","CLAIM","We claim the ornamental design for a hospital bassinet, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786577-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786578","S1","20170516","US","29551258","20160112","design","29","15","10","0604","US","D 6527","Soap dish towel bar","d2e53","1","1","1","5","Indianapolis","US","US","001","applicant","us-only","Eads","Thad","North Manchester","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a soap dish towel bar, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786578-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786579","S1","20170516","US","29576835","20160907","design","29","15","10","2302","US","D 6542","Insert","d2e53","1","1","6","14","Cary","US","US","001","applicant","us-only","Beck","David","Crystal Lake","US","001","us-only","DRAWINGS","description","CLAIM","We claim the ornamental design for an insert, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786579-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786580","S1","20170516","US","29535390","20150806","design","29","15","10","1303","US","D 6552","Wheeled board and accessories rack","d2e53","1","1","8","14","Chico","US","US","001","applicant","us-only","Chesterton","Nicholas","Chico","US","001","us-only","DRAWINGS","description","CLAIM","We claim, the ornamental design for a wheeled board and accessories rack, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786580-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
