"","us-bibliographic-data-grant.publication-reference1","us-bibliographic-data-grant.publication-reference2","us-bibliographic-data-grant.publication-reference3","us-bibliographic-data-grant.publication-reference4","us-bibliographic-data-grant.application-reference1","us-bibliographic-data-grant.application-reference2","us-bibliographic-data-grant.application-reference3","us-bibliographic-data-grant.application-reference..attrs.appl-type","us-bibliographic-data-grant.us-application-series-code","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","us-bibliographic-data-grant.invention-title.text","us-bibliographic-data-grant.invention-title..attrs.id","us-bibliographic-data-grant.number-of-claims","us-bibliographic-data-grant.us-exemplary-claim","us-bibliographic-data-grant.us-parties.us-applicants.address.city","us-bibliographic-data-grant.us-parties.us-applicants.address.country","us-bibliographic-data-grant.us-parties.us-applicants.country","us-bibliographic-data-grant.us-parties.us-applicants.sequence","us-bibliographic-data-grant.us-parties.us-applicants.app-type","us-bibliographic-data-grant.us-parties.us-applicants.designation","us-bibliographic-data-grant.us-parties.inventors1","us-bibliographic-data-grant.us-parties.inventors2","us-bibliographic-data-grant.us-parties.inventors.city","us-bibliographic-data-grant.us-parties.inventors.country","us-bibliographic-data-grant.us-parties.inventors.sequence","us-bibliographic-data-grant.us-parties.inventors.designation","NA","NA","NA","NA","NA","NA","NA","description..attrs.id","us-claim-statement","claims..attrs.id",".attrs.lang",".attrs.dtd-version",".attrs.file",".attrs.status",".attrs.id",".attrs.country",".attrs.date-produced",".attrs.date-publ"
"xml","US","D0786535","S1","20170516","US","29509318","20141117","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sports garment","d2e53","1","1","London","GB","GB","001","applicant","us-only","Grosse","Stefanï{umlaut over ( )}","London","GB","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786535-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786536","S1","20170516","US","29545766","20151116","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shorts","d2e53","1","1","Beaverton","US","US","001","applicant","us-only","Ingram","Jeff","Portland","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786536-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786537","S1","20170516","US","29545771","20151116","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jacket","d2e53","1","1","Beaverton","US","US","001","applicant","us-only","Ingram","Jeff","Portland","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786537-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786538","S1","20170516","US","29568784","20160621","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Garment pocket","d2e53","1","1","Redwood City","US","US","001","applicant","us-only","Morenstein","Josh","Redwood City","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786538-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786539","S1","20170516","US","29572256","20160726","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sandal","d2e53","1","1","San Bruno","US","US","001","applicant","us-only","Vixama","Gregory Seth","San Bruno","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786539-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786540","S1","20170516","US","29534416","20150728","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sandal or similar article","d2e53","1","1","Allentown","US","US","001","applicant","us-only","Mansour","Mansour G.","Allentown","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786540-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786541","S1","20170516","US","29569367","20160627","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sandal","d2e53","1","1","South Ozone Park","US","US","001","applicant","us-only","Ethridge","Desaree C.","South Ozone Park","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786541-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786542","S1","20170516","US","29517317","20150211","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Footwear","d2e71","1","1","Hong Kong","HK","HK","001","applicant","us-only","Fu","David","Hong Kong","HK","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786542-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786543","S1","20170516","US","29540258","20150922","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shoe","d2e53","1","1","New York","US","US","001","applicant","us-only","Ursomarzo","Tania","New York","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786543-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786544","S1","20170516","US","29549289","20151221","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shoe midsole","d2e53","1","1","London","GB","GB","001","applicant","us-only","Marvin","William","Canton","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786544-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786545","S1","20170516","US","29562978","20160429","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shoe midsole","d2e53","1","1","Beaverton","US","US","001","applicant","us-only","Link","Kenneth","Portland","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786545-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786546","S1","20170516","US","29547135","20151201","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shoe upper","d2e53","1","1","Beaverton","US","US","001","applicant","us-only","Rasmussen","Jeff","Portland","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786546-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786547","S1","20170516","US","29552757","20160126","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shoe upper","d2e53","1","1","Beaverton","US","US","001","applicant","us-only","Chang","Leo S.","Portland","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786547-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786548","S1","20170516","US","29542574","20151015","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sock","d2e53","1","1","Vista","US","US","001","applicant","us-only","Patterson","Joe","Vista","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786548-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786549","S1","20170516","US","29572325","20160727","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Keychain device","d2e53","1","1","Austin","US","US","001","applicant","us-only","Dandachli","Youssef","Austin","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786549-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786550","S1","20170516","US","29553330","20160131","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Electronic device case","d2e53","1","1","Irvine","US","US","001","applicant","us-only","Grote","Paul S.","Old Hickory","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786550-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786551","S1","20170516","US","29532446","20150707","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Handbag","d2e71","1","1","Athens","GR","GR","001","applicant","us-only","Koutsolioutsos","Dimitrios","Attica","GR","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786551-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786552","S1","20170516","US","29581888","20161024","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Handbag","d2e53","1","1","Cadempino","CH","CH","001","applicant","us-only","Maier","Thomas Rudolf","Palm Beach","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786552-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786553","S1","20170516","US","29514804","20150116","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eyewear holder","d2e53","1","1","New York","US","US","001","applicant","us-only","Kriss","Michael","New York","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786553-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786554","S1","20170516","US","29526114","20150506","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Storage box with partitions","d2e53","1","1","North Bergen","US","US","001","applicant","us-only","Reyes","Leonardo","North Bergen","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786554-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786555","S1","20170516","US","29527571","20150520","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Combined stuff sack and pouch","d2e53","1","1","Bend","US","US","001","applicant","us-only","Brungraber","Caesara","Bend","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786555-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786556","S1","20170516","US","29505956","20160428","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soda can bin","d2e53","1","1","Carrollton","US","US","001","applicant","us-only","Jones","Autumn Alexis","Dallas","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786556-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786557","S1","20170516","US","29554825","20160216","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Basket","d2e53","1","1","Streetsboro","US","US","001","applicant","us-only","Goodman","Aaron D.","Beachwood","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786557-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786558","S1","20170516","US","29533026","20150713","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lid for containers","d2e71","1","1","Niederkorn","LU","LU","001","applicant","us-only","Duvigneau","Nikolai","Zichron Yaacov","IL","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786558-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786559","S1","20170516","US","29544615","20151104","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insulating device","d2e53","1","1","Austin","US","US","001","applicant","us-only","Seiders","Roy Joseph","Austin","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786559-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786560","S1","20170516","US","29544621","20151104","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insulating device","d2e53","1","1","Austin","US","US","001","applicant","us-only","Seiders","Roy Joseph","Austin","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786560-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786561","S1","20170516","US","29544622","20151104","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insulating device","d2e53","1","1","Austin","US","US","001","applicant","us-only","Seiders","Roy Joseph","Austin","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786561-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786562","S1","20170516","US","29544624","20151104","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insulating device","d2e53","1","1","Austin","US","US","001","applicant","us-only","Seiders","Roy Joseph","Austin","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786562-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786563","S1","20170516","US","29534406","20150728","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Multi-function oral care kit","d2e53","1","1","Portland","US","US","001","applicant","us-only","Triato","Patrick R.","Portland","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786563-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786564","S1","20170516","US","29543823","20151028","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Toothbrush","d2e53","1","1","Atlanta","US","US","001","applicant","us-only","Borstel","Sabine","Atlanta","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786564-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786565","S1","20170516","US","29567454","20160609","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brush","d2e53","1","1","Skive","DK","DK","001","applicant","us-only","Lauridsen","Jorgen Thordahl","Skive","DK","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786565-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786566","S1","20170516","US","29535762","20150810","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Handle for a cleaning tool","d2e53","1","1","St. Paul","US","US","001","applicant","us-only","Chaffee","Matthew D.","Minneapolis","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786566-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786567","S1","20170516","US","29489473","20140430","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sheet material with hexagonal perforations","d2e53","1","1","Hampden","US","US","001","applicant","us-only","Lacey","Sam","Hampden","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786567-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786568","S1","20170516","US","29534015","20150724","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Interlocking hanger","d2e53","1","1","Mountain View","US","US","001","applicant-inventor","us-only","Rakhamimov","Murad","Mountain View","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786568-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786569","S1","20170516","US","29553552","20160202","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stool","d2e71","1","1","Grandate (CO)","IT","IT","001","applicant","us-only","Festa","Antonella","Como","IT","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786569-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786570","S1","20170516","US","29560762","20160410","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Infant bath tub","d2e53","1","1","Salt Lake City","US","US","001","applicant","us-only","Denton","Dana L","Salt Lake City","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786570-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786571","S1","20170516","US","29511602","20141211","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Office furniture","d2e398","1","1","London","GB","GB","001","applicant","us-only","Webb","Roger","London","GB","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786571-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786572","S1","20170516","US","29537722","20150828","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rocking bed","d2e71","1","1","Ningbo","CN","CN","001","applicant","us-only","Shen","Jiahuan","Ningbo","CN","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786572-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786573","S1","20170516","US","29520419","20150313","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bicycle seat","d2e53","1","1","Lutz","US","US","001","applicant","us-only","Toll","Steven G.","Tampa","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786573-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786574","S1","20170516","US","35500332","20151120","design","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stool","d2e71","1","1","Chiampo","IT","IT","001","applicant","us-only","Galiotto","Raffaello","Chiampo","IT","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786574-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786575","S1","20170516","US","29526865","20150513","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stackable chair","d2e53","1","1","Aventura","US","US","001","applicant","us-only","Olarte","Alvaro Mauricio","Aventura","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786575-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786576","S1","20170516","US","29559682","20160330","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seat","d2e53","1","1","Pontotoc","US","US","001","applicant","us-only","Dix","George K","Pontotoc","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786576-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786577","S1","20170516","US","29516083","20150129","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hospital bassinet","d2e53","1","1","Kalamazoo","US","US","001","applicant","us-only","Czach","Matthew Gregory","Kalamazoo","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786577-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786578","S1","20170516","US","29551258","20160112","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soap dish towel bar","d2e53","1","1","Indianapolis","US","US","001","applicant","us-only","Eads","Thad","North Manchester","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786578-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786579","S1","20170516","US","29576835","20160907","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insert","d2e53","1","1","Cary","US","US","001","applicant","us-only","Beck","David","Crystal Lake","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786579-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786580","S1","20170516","US","29535390","20150806","design","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wheeled board and accessories rack","d2e53","1","1","Chico","US","US","001","applicant","us-only","Chesterton","Nicholas","Chico","US","001","us-only",NA,NA,NA,NA,NA,NA,NA,"description","CLAIM","claims","EN","v4.5 2014-04-03","USD0786580-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
